epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7333,0.84169,3.52247,0.97178,0.00314,0.94118,0.00683,0.00296,0.80946,3.53287,0.78318,0.000555556,0.000555556,0.000555556
2,7.67007,0.82766,3.49869,0.98404,0.00333,1,0.59644,0.12424,2.79653,4.66712,1.8609,0.00121012,0.00121012,0.00121012
3,8.44971,2.51639,3.15195,2.08171,0.00333,1,0.59644,0.12424,2.79653,4.66712,1.8609,0.00185149,0.00185149,0.00185149
4,9.17362,2.72051,3.65808,2.23328,0.00333,1,0.57241,0.13851,2.81707,4.69481,1.88765,0.0019406,0.0019406,0.0019406
5,9.9487,2.80224,4.00687,2.37524,0.00314,0.94118,0.60139,0.12104,2.7462,4.81164,1.86359,0.0019208,0.0019208,0.0019208
6,10.7269,2.64569,3.66627,2.29953,0.21171,0.11765,0.14789,0.04686,1.56748,4.0406,2.01369,0.001901,0.001901,0.001901
7,11.4994,1.89802,3.41273,1.87524,0.21171,0.11765,0.14789,0.04686,1.56748,4.0406,2.01369,0.0018812,0.0018812,0.0018812
8,12.2931,1.83339,3.06514,1.76518,0.15916,0.11765,0.18224,0.05835,1.4577,3.92711,1.8075,0.0018614,0.0018614,0.0018614
9,13.0758,1.72764,2.99989,1.62305,0.00294,0.88235,0.00366,0.00165,1.22092,4.27945,1.39369,0.0018416,0.0018416,0.0018416
10,13.9626,1.519,2.79815,1.55519,0.0002,0.05882,4e-05,0,3.02217,10.1546,3.65063,0.0018218,0.0018218,0.0018218
11,14.8619,1.6488,3.22115,1.48818,0.0002,0.05882,4e-05,0,3.02217,10.1546,3.65063,0.001802,0.001802,0.001802
12,15.6558,1.43794,2.46022,1.39223,0.00118,0.35294,0.00051,0.00018,3.44621,406.453,6.66019,0.0017822,0.0017822,0.0017822
13,16.5186,1.33773,2.41498,1.3314,0.00185,0.41176,0.00116,0.00034,3.27648,412.634,3.71875,0.0017624,0.0017624,0.0017624
14,17.3178,1.23494,2.06045,1.25584,0.00305,0.35294,0.0021,0.00046,2.24057,51.6819,2.71461,0.0017426,0.0017426,0.0017426
15,18.1533,1.15254,2.32329,1.22218,0.00305,0.35294,0.0021,0.00046,2.24057,51.6819,2.71461,0.0017228,0.0017228,0.0017228
16,18.9567,1.04472,2.04727,1.17255,0.22744,0.05882,0.03617,0.01752,1.72184,4.38731,1.55982,0.001703,0.001703,0.001703
17,19.7651,1.07618,2.07719,1.13478,0.00255,0.76471,0.02508,0.014,2.12759,3.88339,1.9674,0.0016832,0.0016832,0.0016832
18,20.5444,1.00691,1.72656,1.05239,0.96556,0.29412,0.456,0.28627,1.19491,2.70291,1.16846,0.0016634,0.0016634,0.0016634
19,21.3297,0.98817,1.56159,1.13803,0.96556,0.29412,0.456,0.28627,1.19491,2.70291,1.16846,0.0016436,0.0016436,0.0016436
20,22.0947,0.8381,1.59523,1.012,1,0.71205,0.92299,0.63337,0.92388,2.28854,0.97209,0.0016238,0.0016238,0.0016238
21,22.9086,1.02069,1.57721,1.12732,0.63754,0.70588,0.65306,0.4616,0.90151,2.05966,0.96469,0.001604,0.001604,0.001604
22,23.7123,0.95995,1.45545,1.1206,0.98839,0.88235,0.94428,0.69343,0.86049,1.61075,0.90279,0.0015842,0.0015842,0.0015842
23,24.5203,0.81799,1.27485,1.02834,0.98839,0.88235,0.94428,0.69343,0.86049,1.61075,0.90279,0.0015644,0.0015644,0.0015644
24,25.2892,0.7604,1.19313,1.01376,1,0.82352,0.92952,0.66886,0.83358,1.67987,0.8885,0.0015446,0.0015446,0.0015446
25,26.1447,0.82586,1.29222,1.03022,0.8318,0.58227,0.79049,0.50667,0.96974,2.51105,1.06074,0.0015248,0.0015248,0.0015248
