epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,7.59214,0.75476,7.4786,0.00455,0.00333,1,0.01875,0.01582,0.42407,8.39178,0.00371,0.00062963,0.00062963,0.00062963
2,9.68368,0.78054,6.34103,0.00392,0.00333,1,0.0188,0.01194,0.5032,8.26798,0.00417,0.00128346,0.00128346,0.00128346
3,11.6086,0.9437,5.59648,0.00506,0.00333,1,0.00381,0.00273,0.57649,8.18274,0.00532,0.0019241,0.0019241,0.0019241
4,13.6075,0.91448,5.23998,0.00504,0.00333,1,0.35893,0.24707,0.55283,7.56011,0.00479,0.0019406,0.0019406,0.0019406
5,15.4763,0.93529,5.3243,0.0053,0.59975,0.89907,0.83505,0.57986,0.6434,6.79114,0.00593,0.0019208,0.0019208,0.0019208
6,17.58,0.90267,4.51608,0.005,0.74731,0.76,0.83891,0.58537,0.70742,6.01458,0.00622,0.001901,0.001901,0.001901
7,19.5982,0.86082,4.26174,0.00479,0.92031,0.69308,0.90438,0.6349,0.74688,5.4391,0.00689,0.0018812,0.0018812,0.0018812
8,21.608,0.79462,4.26726,0.00483,0.81025,0.76873,0.84804,0.63718,0.66389,4.80268,0.00601,0.0018614,0.0018614,0.0018614
9,23.5777,0.75849,3.75556,0.00374,0.9075,0.64,0.7993,0.59085,0.74277,4.25145,0.00651,0.0018416,0.0018416,0.0018416
10,25.3812,0.9184,3.59333,0.00499,0.81349,0.8,0.82955,0.55046,0.90823,4.11397,0.00887,0.0018218,0.0018218,0.0018218
11,27.1385,0.81596,3.11201,0.00471,0.82018,0.72,0.84726,0.60206,0.81865,3.62388,0.00734,0.001802,0.001802,0.001802
12,28.9372,0.86655,2.8888,0.00476,0.79366,0.84626,0.89182,0.62379,0.77356,3.45961,0.007,0.0017822,0.0017822,0.0017822
